Rodovia,Km Inicial,Lat e Long km Inicial,Km Final,Lat e Long km final
"SP 073,""35,700"",""-23.153115, -47.257589"",""41,200"",""-23.188900, -47.279980"""
"SP 079,""34,750"",""-23.215280, -47.297680"",""106,140"",""-23.627410, -47.461130"""
"SP 097,""0,000"",""-23.449260, -47.513530"",""25,460"",""-23.237612, -47.518075"""
"SP 127,""213,150"",""-23.989540, -48.328130"",""215,930"",""-24.007780, -48.341170"""
"SP 129,""0,000"",""-23.226210, -47.570500"",""74,000"",""-23.547190, -48.053860"""
"SP 139,""67,770"",""-24.124330, -47.990390"",""121,420"",""-23.839060, -48.049510"""
"SP 141,""0,000"",""-23.532490, -47.724790"",""86,500"",""-23.100490, -48.251670"""
"SP 143,""0,000"",""-23.230027, -47.948434"",""22,200"",""-23.049130, -47.958510"""
"SP 147,""238,470"",""-22.951300, -48.276270"",""268,690"",""-23.179910, -48.306570"""
"SP 157,""6,000"",""-23.568280, -48.084620"",""56,330"",""-23.239870, -48.123375"""
"SP 165,""168,840"",""-24.519570, -48.726630"",""184,580"",""-24.526860, -48.836620"""
"SP 181,""0,000"",""-24.016970, -48.349420"",""19,030"",""-24.160330, -48.348720"""
"SP 189,""0,000"",""-23.534090, -48.434020"",""44,200"",""-23.799750, -48.584610"""
"SP 245,""0,000"",""-23.109310, -48.941260"",""15,150"",""-23.070750, -49.076340"""
"SP 249,""0,000"",""-24.499250, -48.842850"",""168,270"",""-23.485040, -49.327830"""
"SP 250,""176,550"",""-23.891102, -48.005229"",""354,940"",""-24.655980, -49.010120"""
"SP 251,""5,980"",""-22.986930, -48.827750"",""24,650"",""-22.968140, -48.800650"""
"SP 252,""0,000"",""-24.189260, -48.537020"",""30,430"",""-24.217680, -48.767120"""
"SP 259,""308,800"",""-23.915270, -49.051770"",""353,800"",""-24.110780, -49.315090"""
"SP 267,""322,110"",""-23.860300, -49.128580"",""346,500"",""-24.071390, -49.125090"""
"SP 268,""114,830"",""-23.504730, -47.622110"",""334,800"",""-23.357890, -49.200090"""
"SP 270,""168,210"",""-23.616100, -48.084280"",""295,390"",""-23.279680, -49.198230"""
"SP 275,""324,500"",""-23.854580, -49.155640"",""348,800"",""-23.877490, -49.366710"""
"SP 281,""0,000"",""-24.097590, -49.332500"",""43,360"",""-23.814110, -49.407440"""
"SPA 003/245,""0,000"",""-23.119060, -48.989260"",""8,700"",""-23.106899, -48.974229"""
"SPA 005/245,""0,000"",""-23.097480, -48.989310"",""0,320"",""-23.095930, -48.987780"""
"SPA 039/281,""0,000"",""-23.841630, -49.395720"",""1,000"",""-23.841590, -49.404530"""
"SPA 040/079,""0,000"",""-23.229550, -47.304620"",""3,450"",""-23.247980, -47.306480"""
"SPA 097/250,""15,520"",""-23.606450, -47.455650"",""18,920"",""-23.601910, -47.462700"""
"SPA 097/300,""0,000"",""-23.248580, -47.226670"",""8,400"",""-23.212930, -47.286470"""
"SPA 099/139,""0,000"",""-23.889750, -48.010940"",""2,300"",""-23.874690, -48.009010"""
"SPA 103/079,""2,495"",""-23.588220, -47.453820"",""11,500"",""-23.522738, -47.452462"""
"SPA 112/249,""0,000"",""-23.856130, -49.141610"",""0,900"",""-23.859780, -49.138570"""
"SPA 112/270,""0,000"",""-23.511629, -47.574632"",""7,920"",""-23.457200, -47.591800"""
"SPA 115/280,""0,000"",""-23.297930, -47.678420"",""5,190"",""-23.338600, -47.688310"""
"SPA 142/270,""0,000"",""-23.562710, -47.844050"",""9,800"",""-23.637810, -47.826340"""
"SPA 145/270,""0,000"",""-23.565693, -47.877560"",""1,500"",""-23.560225, -47.878994"""
"SPA 162/270,""0,000"",""-23.597560, -48.031750"",""1,170"",""-23.585990, -48.036190"""
"SPA 162/280,""0,000"",""-23.235489, -48.122512"",""6,000"",""-23.189070, -48.122300"""
"SPA 173/250,""0,000"",""-23.888930, -47.980970"",""1,600"",""-23.879890, -47.990750"""
"SPA 180/250,""0,000"",""-23.882750, -48.010120"",""0,490"",""-23.882590, -48.006140"""
"SPA 204/270,""0,000"",""-23.528660, -48.394820"",""5,300"",""-23.489790, -48.409690"""
"SPA 205/270,""0,000"",""-23.528810, -48.405110"",""6,350"",""-23.573020, -48.386510"""
"SPA 223/270,""0,000"",""-23.487640, -48.569400"",""6,000"",""-23.436449, -48.606545"""
"SPA 245/270,""0,000"",""-23.467910, -48.776200"",""11,400"",""-23.392060, -48.727330"""
"SPA 282/258,""0,000"",""-23.972750, -48.861840"",""1,880"",""-23.975160, -48.868380"""
"SPA 284/258,""0,000"",""-23.965150, -48.880510"",""0,880"",""-23.972150, -48.878330"""
"SPA 294/250,""0,000"",""-24.400580, -48.645340"",""20,500"",""-24.441880, -48.608400"""
"SPA 324/259,""0,000"",""-24.031630, -49.110570"",""2,780"",""-24.043800, -49.091230"""
"SPA 338/258,""0,000"",""-24.097505, -49.332454"",""0,330"",""-24.099970, -49.330810"""
"SPA 341/258,""0,000"",""-24.114326, -49.360670"",""0,700"",""-24.114280, -49.354170"""
